,標題,版主,日期,時間,觀看數,留言
1190,【閒聊】打GM bo前一場遇到善良玩家,a37308718,06/21,20:39,3949,73
1191,首篇已刪,hayashitn,06/21,17:59,1407,19
1192,【閒聊】大家來分享一下人氣投票投了誰吧！(也可以在此拉票哦),hss1461,06/21,16:58,14k,70
1193,【攻略】只到29號！屈辱的決鬥者(現排名二位)用洛菈米亞創造物復仇者,rtmax,06/21,16:26,5908,30
1194,【討論】《闇黑的威爾薩》主教職業相關討論串,ThunderJack,06/21,06:52,11k,18
1195,【問題】解每日時特別卡,karta1192111,06/20,16:37,8056,57
1196,【閒聊】如果你滅族組龍族指定去打無限制階級,zero489owo,06/20,07:41,3182,22
1197,【討論】All star 2pick死靈職業選牌策略分享,Cos1483,06/19,19:27,1467,2
1198,本討論串已無文章,Cos1483,06/19,19:18,120,0
1199,【問題】關於限定劇情,nightxhare,06/19,12:22,2747,11
1200,【問題】私人對戰活動問題,risalia,06/18,15:44,4608,9
1201,【問題】帳號被限制了,Wuyi0135,06/18,13:07,3639,6
1202,【實況】Twitch小比賽 冷颯杯,m08210821,06/18,11:30,807,0
1203,【閒聊】表情包,Kokog11,06/18,08:26,3924,24
1204,【閒聊】引繼簡易流程,Gt1212280,06/18,08:17,50k,59
1205,【討論】請問深夜對戰遇到同一人的機率多大?,Zafkiel,06/17,17:26,3384,12
1206,【討論】《闇黑的威爾薩》龍族職業相關討論串,qwe50188,06/17,15:55,16k,25
1207,【情報】5週年X第21彈卡包《物語重歸》非卡包情報整理,wolf2994,06/17,15:15,19k,57
1208,【心得】艾拉...,ga2006473651,06/17,12:45,7013,19
1209,首篇已刪,Liujohnny,06/17,11:43,1419,11
1210,【討論】現環境討論,s227030,06/16,03:45,10k,47
1211,【問題】請求一個活躍度高的公會,Hd666xzk,06/16,01:12,3642,33
1212,本討論串已無文章,patrick40319,06/15,11:38,1054,9
1213,【問題】莫諾的聲線變溫柔了,amoswong,06/14,17:48,5628,37
1214,【推測？】關於莫諾新卡能力的一點彩蛋,muchuchan,06/13,21:22,5391,18
1215,【攻略】12500分、多次大賽五勝 中速進化吸 詳細解析,scarletraven,06/13,20:00,7074,23
1216,【密技】娛樂牌組 專殺復仇者 指定消失教,oclphk,06/13,01:03,9068,31
1217,【問題】想要做閃卡 請問哪個網站可以看到閃卡?,a28583256911,06/11,20:08,3183,16
1218,【討論】CINDERELLA GIRLS Cup Vol.2 A組分享串,andy23,06/10,19:49,12k,69
1219,首篇已刪,hayashitn,06/10,18:32,1652,49
1220,【心得】哭啊抽牌抽太多,brian0410702,06/09,20:28,5158,16
1221,【心得】先來幫『可愛乃力量教』的教主『索菲娜』拉票,Liujohnny,06/08,20:00,4927,12
1222,首篇已刪,sysop,06/08,15:08,4720,44
1223,【問題】回鍋請益,allenqazws,06/06,19:56,2839,8
1224,【問題】請問能力是什麼？,jqlg497821,06/06,15:25,2805,9
1225,【繪圖】惡兆暴君,jeff60316377,06/05,21:22,9575,12
1226,【討論】第五次人氣投票實際結果預測,b830714b,06/05,12:44,5572,27
1227,【閒聊】卡牌故事,kuoyipong,06/04,13:59,6480,11
1228,【問題】論取名的藝術(´･Д･)」,gankrock,06/03,18:48,2173,4
1229,【心得】潔淨教太OP拉,gankrock,06/03,07:47,4127,14
1230,【情報】2021 麵包團體賽,sf329sf329,06/02,00:34,606,0
1231,【心得】dlc後重磅回歸激奏妖，可快可慢能進能退,xs2523374,05/31,10:11,3020,4
1232,首篇已刪,hayashitn,05/31,04:42,742,7
1233,【問題】新版本浪費問題,gankrock,05/31,00:10,3632,12
1234,【討論】《闇黑的威爾薩》巫師職業相關討論串,starshadow23,05/30,03:50,15k,21
1235,【問題】新手不知道組甚麼好,key55018182,05/30,00:08,1050,1
1236,【情報】舉辦大賽「CINDERELLA GIRLS Cup Vol.2」公告,qwert7410100,05/29,23:37,1835,2
1237,【問題】回鍋請教,bc27632950,05/29,22:40,2006,38
1238,【討論】《闇黑的威爾薩》復仇者職業相關討論串,s227030,05/29,03:04,10k,15
1239,本討論串已無文章,maybe1452,05/28,22:15,100,14
1240,【問題】死靈法師 葬送,maybe1452,05/28,22:13,1060,9
1241,【心得】DLC後最強精靈型態?! 指定斬擊妖心得(2F新增天梯特化構築、4F解說留換牌&運營),ho89609,05/28,11:17,8503,17
1242,本討論串已無文章,doog1234,05/28,03:58,529,9
1243,【問題】天地侵略篇---希望之心,allenqazws,05/27,20:36,2180,15
1244,【討論】『指定』DLC後版本 激奏妖,ufolove,05/27,20:10,1046,5
1245,【問題】請問無限制第2/第3個月的千名線在哪,ssvvengeorge,05/27,17:26,1019,9
1246,【問題】問一下黑暗世界篇主線劇情,iop789qwe,05/26,16:36,1960,15
1247,【討論】暗黑威爾薩 卡圖調整,kuoyipong,05/26,15:15,4691,19
1248,【討論】日本選手閒聊當前環境,kuoyipong,05/26,14:40,3115,25
1249,【攻略】「偶像大師灰姑娘女孩」DOV版本 Quest 金色皮喵太任務 通關集中串,egger47,05/26,13:36,19k,43
1250,【問題】剛剛打了一場無限制遇到傀儡奧契絲,xianaixty,05/26,10:26,1933,8
1251,【問題】想問儲值的問題,stephanie072,05/26,08:41,1025,7
1252,【討論】進化妖精有沒有戲啊,abcde0800,05/26,01:21,1847,12
1253,首篇已刪,sysop,05/26,00:07,754,2
1254,本討論串已無文章,LOVE2u31241,05/25,20:06,63,0
1255,【心得】第一場網咖ES!?  in E網打競中和店,hayashitn,05/25,19:14,12k,18
1256,【心得】牌組分享｜DLC改版當日九連勝達成進化吸！（T1牌組）,Ethen329,05/25,18:03,1665,2
1257,【密技】盤面解謎Quest攻略全解,jackcasper41,05/25,17:35,15k,16
1258,【求救】金皮好難阿！,gowofmath666,05/25,14:19,4558,26
1259,【問題】穩定通關金色皮喵太,SuperGamer,05/25,08:10,4882,37
1260,本討論串已無文章,word1777,05/24,20:36,38,2
1261,【問題】皮喵太掛機,jc920414,05/24,13:33,2126,7
1262,首篇已刪,hayashitn,05/24,00:38,1264,12
1263,【問題】有趣有戲的復仇者加農砲，神的制裁，指定寬容牌組!!,asd15680,05/23,23:42,2253,9
1264,【討論】絕高無上 寬容、ㄌㄌ米亞實用性,A441780214,05/23,16:50,3555,8
1265,【心得】OTK皇家gm之路,dager1234978,05/23,14:28,9028,42
1266,【攻略】關於皮喵太的「試用牌組」這檔事,IANfan891112,05/22,20:33,4717,14
1267,首篇已刪,hayashitn,05/22,13:24,941,6
1268,首篇已刪,hayashitn,05/22,09:19,1203,8
1269,【討論】「偶像大師 灰姑娘女孩」Quest：黑色皮喵太(一場解三任),brian0410702,05/22,06:42,2726,1
1270,【情報】2021 麵包杯#1,sf329sf329,05/22,00:44,681,0
1271,【攻略】偶像大師 困難盤面解題,allenqazws,05/21,19:01,7156,32
1272,【討論】偶像解謎 求大佬教我破中級血鬼,lurkroyal,05/21,14:43,1801,3
1273,本討論串已無文章,ken20020107,05/21,14:13,82,1
1274,【問題】皮喵太 那個斬殺問題 求助,h124309568,05/21,11:31,2268,8
1275,【討論】《闇黑的威爾薩》皇家護衛職業相關討論串,k0862,05/21,01:03,13k,18
1276,【情報】「偶像大師 灰姑娘女孩」Quest 登場公告(新增解謎任務啦,Lullaby101,05/20,19:18,5030,13
1277,【情報】第20彈卡包《暗黑的威爾薩》追加卡情報公開(全數公開),hayashitn,05/20,11:31,53k,83
1278,【問題】關於自製卡片,linz63003,05/20,11:28,1187,4
1279,首篇已刪,hayashitn,05/19,16:25,813,8
1280,【討論】DOV 無限制盃 A組 分享串,jeeri50701,05/19,01:56,14k,66
1281,【心得】【指定】M上GM 全程快攻死靈 :: 露娜妳在下水道嗎 那我也搬過去住,luluismywife,05/18,13:35,6917,21
1282,【情報】偶像大師灰姑娘女孩合作,WLO1908478,05/17,16:43,12k,49
1283,【討論】「我用XXX打大賽（天梯）連續十場先攻，木村484我乾爹？」,IANfan891112,05/17,15:09,3617,13
1284,【問題】請問這是防火牆的問題嗎?,simba9800197,05/17,13:27,1036,6
1285,【問題】請問現在遊戲有問題嗎？,a77090781,05/17,08:53,1106,7
1286,【問題】老人回鍋建議,taiwan810430,05/16,15:58,2655,12
1287,【討論】《闇黑的威爾薩》吸血鬼職業相關討論串,qqq5632,05/16,15:56,6817,7
1288,本討論串已無文章,a3737795,05/16,11:39,161,3
1289,【心得】指定碑文吸——DLC前的GM末班車,c2551989631,05/16,06:50,2376,3
1290,首篇已刪,sysop,05/16,00:55,4923,130
1291,【心得】於亂世重整秩序-醫學奇蹟進化巫師 It's a miracle.【已GM】(5/14增加GM證明、純勝率),jason1344,05/15,00:39,6097,40
1292,造物仇打血鬼,s29206201,05/14,18:54,2307,10
1293,【問題】5/20版本更新維修,Ajadalintw,05/14,11:49,7403,11
1294,首篇已刪,sysop,05/14,01:35,825,14
1295,【問題】有關共鳴仇,Jery920731hd,05/13,23:45,2523,9
1296,本討論串已無文章,Jery920731hd,05/13,23:40,12,0
1297,【心得】中規中矩的下限警察——協作進化皇（DOV 指定）,sakura20127,05/12,10:11,3380,15
1298,【心得】《闇黑的威爾薩》默默OP的偷環境歡樂卡組─享樂宇宙鬼 。5/6上GM，5樓更新牌組與應對,swallow9,05/10,10:23,7697,19
1299,【繪圖】臭小子，那麼色,jeff60316377,05/09,16:17,7735,4
1300,首篇已刪,hayashitn,05/09,16:06,903,2
1301,首篇已刪,hayashitn,05/09,15:55,922,2
1302,【情報】舉辦大賽「DOV 無限制盃」公告,qwert7410100,05/09,14:45,1508,1
1303,【密技】《夢想》無限制欸嘿嘿衝刺，用最低的費用打出最高的傷害!,fzw1222,05/08,22:56,2833,2
1304,首篇已刪,sysop,05/08,18:56,1522,7
1305,【問題】無限制龍族問題,szony928807,05/07,20:58,4072,31
1306,【問題】登入畫面桌布,k0862,05/07,16:50,1969,4
1307,【問題】二次重複獎勵?,raiser940179,05/07,09:47,2628,9
1308,【情報】第20彈卡包《暗黑的威爾薩》情報公開(全數公開),luckly123,05/07,00:53,185k,93
1309,【問題】無限制巫師？,UFO3366,05/06,10:57,4166,16
1310,首篇已刪,hayashitn,05/06,09:42,526,1
1311,【心得】大賽優勝進化死，心得分享,xs2523374,05/06,03:27,3751,5
1312,【討論】[討論]用excel計算2PICK選什麼職業最好,rtmax,05/05,20:58,1737,6
1313,首篇已刪,sysop,05/05,17:00,2749,10
1314,【心得】推介一套四回殺死神龍（pvp限定）,Sacktiria,05/05,14:52,4569,13
1315,【情報】薯薯自辦趣味賽「策略選擇盃」開放報名囉 2021/5/6 21:00開戰！,b24951402,05/05,12:23,1516,0
1316,【問題】新手小課族如何購買的路線,Sakagami,05/04,16:29,5531,35
1317,首篇已刪,Liujohnny,05/04,04:18,2783,34
1318,【心得】燃燒── 填裝── 聖祝射擊！無限制-聖里奈守護教,rtmax,05/03,20:49,4958,13
1319,本討論串已無文章,Masonpenguin,05/03,19:31,21,0
1320,【討論】墮落的決意究竟該不該帶,brian0410702,05/03,11:44,4790,49
1321,【問題】無限制防傷皇,ylin0857,05/03,10:43,2247,18
1322,【問題】AI思考中,a300ppm,05/02,22:37,2080,16
1323,【心得】指定葬送COMBO死靈，5000到7000分區間,QLOKOHO,05/02,22:17,2691,39
1324,【問題】主教,Jery920731hd,05/02,22:12,1890,11
1325,【問題】新手提問,Yihao0205,05/02,14:01,2050,35
1326,【攻略】關於DOV版本一個月來個人的感想以及淺談SV當前趨勢,chaotic333,05/01,22:21,7592,71
1327,本討論串已無文章,nakroth3911,05/01,19:30,26,0
1328,首篇已刪,hayashitn,05/01,14:51,881,2
1329,本討論串已無文章,Ngkaiyip,04/30,21:49,2122,31
1330,【討論】護符主教還有救嗎？（環境內娛樂向,lostwhat,04/30,15:03,5087,25
1331,【情報】佐賀偶像是傳奇 捲土重來 合作紀念活動,stupidleo,04/30,08:32,3203,1
1332,【閒聊】演算法帶我來到奇怪的地方,auslandishe,04/29,23:44,2824,2
1333,【心得】【指定】瘋狗妖 GM歷程,a44952354,04/29,00:37,4002,12
1334,【心得】大家最有回憶的牌組是哪些,anthony01,04/28,23:16,13k,70
1335,【其他】生命會自己尋找出路，【無限制】洛奇薩斯連擊妖,Aa28412230,04/28,18:53,2771,10
1336,【問題】連三場都配到同一個路人 夢想破滅三次的機率是多少？,QiuFeilie,04/27,09:35,3257,13
1337,【心得】【無限制】教練，我想用雷維翁上GM啊......,Yerfg30048,04/26,21:22,3300,14
1338,【心得】呃，釘書機...強牌?,randomdoor,04/26,07:38,2002,10
1339,DOV 指定系列杯 A組分享串,andy23,04/25,20:18,20k,86
1340,【指定】進化吸上gm心得( • ̀ω•́  )（4/25更正一部分）,flypig123,04/25,13:09,6248,20
1341,本討論串已無文章,Ngkaiyip,04/24,15:10,144,7
1342,【情報】自訂賽事活動,a0203022,04/23,17:25,45k,331
1343,【討論】《闇黑的威爾薩》精靈職業相關討論串,prankmail,04/23,05:36,8990,13
1344,【攻略】【LTC】歡迎來到伊莉絲動物園!!DOV護符教分享,abcs4587888,04/23,02:23,2959,7
1345,【問題】旅者蛙回合結束後的潛行被取消了?,poillookk,04/22,13:14,3392,10
1346,【攻略】【指定GM】混亂善良型 OTK皇,rechin0917,04/21,23:17,5412,23
1347,【閒聊】惡劣主播,ryan0906,04/21,09:02,6528,29
1348,首篇已刪,sysop,04/20,11:35,811,8
1349,本討論串已無文章,ggwp881,04/20,11:03,11,0
1350,【閒聊】謝謝大大讓我上GM,alan809,04/19,11:34,3057,6
1351,【心得】在蛋蛋盃大放異彩!激奏妖精 feat.倒吊人,wpw88123,04/19,01:02,3050,4
1352,【問題】造極霸龍？,etuankonechi,04/18,22:51,3595,6
1353,【心得】【指定】快攻皇家在無限制失利後的指定GM之旅,jimmy2323232,04/18,19:30,7401,18
1354,【問題】狗頭做壞了？,fan7370018,04/17,20:41,2570,6
1355,【心得】指定主教GM，峰頂主教介紹！,asdowe224,04/17,17:13,3561,12
1356,【心得】【DOV指定制】伐龍大業 你我有責-巨星葬送死分享(7F更新:復古型),KoiKoi1022,04/17,12:09,7454,40
1357,【心得】【指定】GM純護符教榮華霜糖,gotchia,04/17,11:31,2886,9
1358,本討論串已無文章,peggy2775602,04/16,18:37,770,3
1359,【心得】要上了玩蟲佬！(無限制碑文吸),yhs0729000,04/14,23:04,7103,24
1360,【情報】舉辦大賽「DOV 指定系列盃」公告,qwert7410100,04/14,09:11,1607,6
1361,【問題】自訂比賽的獎勵什麼時候發？,stephanie072,04/13,17:34,1267,2
1362,【問題】戲刀奇術,Wade0818,04/13,15:13,4241,6
1363,【心得】【DOV指定第一週】創造物復仇者（AF仇）分享（4/13更新第二週&GM分享）,kirby0428,04/13,02:36,14k,43
1364,【心得】【DOV指定】GM 套索精靈心得,Yuki0096,04/12,20:31,4725,27
1365,【密技】無限制-骸王二連爆彈OTK（千金已死）,luigi99927,04/12,20:11,2981,12
1366,首篇已刪,hayashitn,04/12,18:04,527,1
1367,【問題】回坑求牌組,x124,04/12,10:38,2192,31
1368,【問題】回鍋新手 想玩死靈跟吸血有甚麼建議嗎,QLOKOHO,04/11,21:24,3731,24
1369,【問題】充能半數法請益,a31389486,04/10,11:58,3339,32
1370,本討論串已無文章,a31389486,04/10,11:47,9,0
1371,【閒聊】暗黑的威爾薩『指定GM』 狗才玩妖精,ufolove,04/10,02:51,3660,13
1372,首篇已刪,hayashitn,04/09,23:34,1171,10
1373,【情報】麵包例行賽#4 改成4/10(六)晚上八點,sf329sf329,04/08,21:43,638,0
1374,【情報】銅銀盃 Ignideus Bronze and Silver Cup,RSI8624229,04/08,07:48,1147,1
1375,【問題】求個NS版萬用牌組編號,h24518261,04/07,23:35,2716,10
1376,【問題】卡背？,UFO3366,04/07,08:37,3495,9
1377,【問題】我是老手回歸，我想玩妖精但我有些擔心的問題,qaz900316sam,04/06,22:29,3985,39
1378,【討論】有沒有能優開無限制巫師的牌組,mn040210,04/06,14:37,3491,42
1379,【問題】想問有沒有平民一點的牌組,etuankonechi,04/06,13:05,5583,24
1380,【繪圖】知道了,jeff60316377,04/05,09:53,12k,19
1381,【問題】這個人吉爾沃怎麼打頭6滴啊,auslandishe,04/04,16:47,2894,8
1382,【討論】毆成這樣你敢信?,dandy69,04/04,04:43,295,0
1383,【問題】已解決 合虹卡被吃紅水,AsrielChara,04/04,01:04,2874,8
1384,【心得】暗黑的威爾薩 GM心得,ccccc2229513,04/03,20:47,3695,12
1385,【心得】千金炸彈死 勝率大概40%不過可以讓敵人死得很錯愕,f6a1t20e4,04/03,17:27,5295,14
1386,【閒聊】興欣公會招人囉~~~~~,w547869283,04/02,15:33,1396,9
1387,【問題】單機遊戲十天？,allenqazws,04/02,11:32,4544,8
1388,【情報】「Shadowverse」×「輝夜姬想讓人告白？～天才們的戀愛頭腦戰～」盛大合作,sonyandy123,04/01,23:43,16k,40
1389,本討論串已無文章,whitend,04/01,23:04,106,5
1390,【問題】造物新手求解惑,YT0231,04/01,22:43,359,0
1391,【密技】愚人節進版圖,Liujohnny,04/01,21:49,5205,10
1392,【問題】新手入坑,style84625,04/01,20:35,2996,19
1393,【問題】這次龍族的新劇情有人看懂嗎...?(注意劇透),hayashitn,04/01,19:23,3667,9
1394,首篇已刪,hayashitn,04/01,16:14,772,7
1395,【問題】各位馬納法都怎麼玩啊,a44952354,04/01,13:38,4304,29
1396,【閒聊】看來這次故事主戰都要氪金？,SuperGamer,04/01,12:05,5705,9
1397,【情報】麵包例行賽#3,sf329sf329,04/01,00:03,585,0
1398,【問題】新手的一些問題,hdjerry921,03/31,12:14,2369,27
1399,【閒聊】這張其實是叫混亂的邪惡吧,arah,03/31,08:55,8756,16
1400,【閒聊】關於這包安和古蕾亞的卡片故事,s810368,03/31,02:28,4980,26
1401,本討論串已無文章,raiser940179,03/31,01:19,1937,8
1402,【心得】有沒有人要分享一下這次抽的如何？,hayashitn,03/30,22:56,3401,20
1403,【問題】三張玖苑,allen12300,03/30,20:44,198,0
1404,【動畫】《闇影詩章》最終話集中討論串,KANNA2010,03/30,19:27,7345,30
1405,本討論串已無文章,V0986010367,03/30,17:15,799,0
1406,【稍後補一條影片】以前的一刀造物仇回來了,Lsdon,03/30,16:35,6232,20
1407,【討論】雲一下下版本不正經的牌組,wei900617,03/30,13:53,4850,8
1408,【情報】新的暫用主題牌組將於維護後可供購買,poinddt,03/30,12:09,5778,14
1409,【問題】剛入坑想要一個好的巫師隊（微課,jeff60316377,03/30,10:58,4944,20
1410,【心得】要上了玩蟲佬！(無限制煤氣罐死),yhs0729000,03/29,06:46,9181,46
1411,【討論】Strategy Pick Cup A組分享串,shootwater,03/29,01:48,17k,87
1412,【取暖】Strategy Pick Cup A組失敗串,kevin82114,03/28,18:37,5085,40
1413,【心得】Strategy Pick Cup心得,qwer11319,03/27,14:35,1987,10
1414,【問題】請問沒玩過這款遊戲的新手加入+上無課金 有機會拿到這次合作動畫的卡片嗎?,SaoKirito6,03/27,11:28,5428,18
